Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
Shayad,"Pritam, Arijit Singh",3/1/20,"138,415",1,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Illegal Weapon 2.0,"Jasmine Sandlas, Garry Sandhu",3/1/20,"125,234",2,in,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw,0.805,0.919,-1.294,0.0938,0.101,0.00343,0.0598,0.494,94.993,"['desi pop', 'punjabi pop']"
Intentions (feat. Quavo),Justin Bieber,3/1/20,"122,769",3,in,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,0.806,0.546,-6.637,0.0575,0.3,0,0.102,0.874,147.986,"['canadian pop', 'pop', 'post-teen pop']"
Falling,Trevor Daniel,3/1/20,"122,465",4,in,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,-8.756,0.0364,0.123,0,0.0887,0.236,127.085,"['pop', 'post-teen pop']"
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,3/1/20,"120,269",5,in,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,-6.503,0.0623,0.329,1.85E-05,0.329,0.311,156.396,['desi pop']
Shayad,"Pritam, Arijit Singh",3/2/20,"142,153",1,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Illegal Weapon 2.0,"Jasmine Sandlas, Garry Sandhu",3/2/20,"125,895",2,in,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw,0.805,0.919,-1.294,0.0938,0.101,0.00343,0.0598,0.494,94.993,"['desi pop', 'punjabi pop']"
Falling,Trevor Daniel,3/2/20,"125,187",3,in,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,-8.756,0.0364,0.123,0,0.0887,0.236,127.085,"['pop', 'post-teen pop']"
Intentions (feat. Quavo),Justin Bieber,3/2/20,"125,030",4,in,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,0.806,0.546,-6.637,0.0575,0.3,0,0.102,0.874,147.986,"['canadian pop', 'pop', 'post-teen pop']"
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,3/2/20,"124,108",5,in,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,-6.503,0.0623,0.329,1.85E-05,0.329,0.311,156.396,['desi pop']
Shayad,"Pritam, Arijit Singh",3/3/20,"142,266",1,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
Illegal Weapon 2.0,"Jasmine Sandlas, Garry Sandhu",3/3/20,"126,779",2,in,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw,0.805,0.919,-1.294,0.0938,0.101,0.00343,0.0598,0.494,94.993,"['desi pop', 'punjabi pop']"
Intentions (feat. Quavo),Justin Bieber,3/3/20,"124,781",3,in,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,0.806,0.546,-6.637,0.0575,0.3,0,0.102,0.874,147.986,"['canadian pop', 'pop', 'post-teen pop']"
Falling,Trevor Daniel,3/3/20,"124,024",4,in,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,0.785,0.431,-8.756,0.0364,0.123,0,0.0887,0.236,127.085,"['pop', 'post-teen pop']"
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",Ved Sharma,3/3/20,"123,339",5,in,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,-6.503,0.0623,0.329,1.85E-05,0.329,0.311,156.396,['desi pop']
Shayad,"Pritam, Arijit Singh",3/4/20,"144,367",1,in,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL,0.483,0.468,-7.642,0.0341,0.785,0,0.152,0.319,135.864,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']"
