Song,Artist,Date,Streams,Rank,Country,Links,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
The Box,Roddy Ricch,3/1/20,"2,145,340",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
Say So,Doja Cat,3/1/20,"1,116,529",2,us,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.577,0.158,0.256,3.57E-06,0.0904,0.786,110.962,"['dance pop', 'pop', 'pop rap']"
Blinding Lights,The Weeknd,3/1/20,"1,106,280",3,us,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Life Is Good (feat. Drake),Future,3/1/20,"1,048,449",4,us,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,-5.831,0.481,0.0706,0,0.152,0.508,142.037,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Blueberry Faygo,Lil Mosey,3/1/20,"1,043,040",5,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
The Box,Roddy Ricch,3/2/20,"1,994,274",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
That Way,Lil Uzi Vert,3/2/20,"1,751,164",2,us,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH,0.719,0.611,-5.01,0.0403,0.0582,0,0.155,0.489,129.962,"['melodic rap', 'philly rap', 'rap', 'trap']"
Say So,Doja Cat,3/2/20,"1,172,448",3,us,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.577,0.158,0.256,3.57E-06,0.0904,0.786,110.962,"['dance pop', 'pop', 'pop rap']"
Blinding Lights,The Weeknd,3/2/20,"1,161,998",4,us,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Blueberry Faygo,Lil Mosey,3/2/20,"1,108,917",5,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
The Box,Roddy Ricch,3/3/20,"2,065,254",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
That Way,Lil Uzi Vert,3/3/20,"1,602,520",2,us,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH,0.719,0.611,-5.01,0.0403,0.0582,0,0.155,0.489,129.962,"['melodic rap', 'philly rap', 'rap', 'trap']"
Blueberry Faygo,Lil Mosey,3/3/20,"1,198,391",3,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,3/3/20,"1,190,972",4,us,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Say So,Doja Cat,3/3/20,"1,170,099",5,us,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.577,0.158,0.256,3.57E-06,0.0904,0.786,110.962,"['dance pop', 'pop', 'pop rap']"
The Box,Roddy Ricch,3/4/20,"2,048,884",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
That Way,Lil Uzi Vert,3/4/20,"1,502,100",2,us,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH,0.719,0.611,-5.01,0.0403,0.0582,0,0.155,0.489,129.962,"['melodic rap', 'philly rap', 'rap', 'trap']"
Blueberry Faygo,Lil Mosey,3/4/20,"1,210,504",3,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,3/4/20,"1,176,120",4,us,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Say So,Doja Cat,3/4/20,"1,139,915",5,us,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.577,0.158,0.256,3.57E-06,0.0904,0.786,110.962,"['dance pop', 'pop', 'pop rap']"
The Box,Roddy Ricch,3/5/20,"2,071,608",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
That Way,Lil Uzi Vert,3/5/20,"1,389,297",2,us,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH,0.719,0.611,-5.01,0.0403,0.0582,0,0.155,0.489,129.962,"['melodic rap', 'philly rap', 'rap', 'trap']"
Blueberry Faygo,Lil Mosey,3/5/20,"1,229,154",3,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,3/5/20,"1,204,391",4,us,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Say So,Doja Cat,3/5/20,"1,153,997",5,us,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,-4.577,0.158,0.256,3.57E-06,0.0904,0.786,110.962,"['dance pop', 'pop', 'pop rap']"
Baby Pluto,Lil Uzi Vert,3/6/20,"3,364,245",1,us,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,0.772,0.634,-6.101,0.212,0.135,0,0.432,0.671,160.052,"['melodic rap', 'philly rap', 'rap', 'trap']"
Lo Mein,Lil Uzi Vert,3/6/20,"2,839,950",2,us,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,0.855,0.676,-5.736,0.325,0.0888,0,0.144,0.509,133.082,"['melodic rap', 'philly rap', 'rap', 'trap']"
Silly Watch,Lil Uzi Vert,3/6/20,"2,591,124",3,us,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo,0.903,0.535,-6.238,0.286,0.0298,0,0.0851,0.157,130.117,"['melodic rap', 'philly rap', 'rap', 'trap']"
POP,Lil Uzi Vert,3/6/20,"2,200,826",4,us,https://open.spotify.com/track/1jDbQz6tr52WgScCTXMnaN,0.741,0.599,-6.672,0.419,0.00961,0,0.785,0.276,139.891,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
The Box,Roddy Ricch,3/6/20,"2,112,574",5,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
Baby Pluto,Lil Uzi Vert,3/7/20,"2,476,511",1,us,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,0.772,0.634,-6.101,0.212,0.135,0,0.432,0.671,160.052,"['melodic rap', 'philly rap', 'rap', 'trap']"
The Box,Roddy Ricch,3/7/20,"2,202,849",2,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
Lo Mein,Lil Uzi Vert,3/7/20,"2,201,736",3,us,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,0.855,0.676,-5.736,0.325,0.0888,0,0.144,0.509,133.082,"['melodic rap', 'philly rap', 'rap', 'trap']"
Silly Watch,Lil Uzi Vert,3/7/20,"2,021,072",4,us,https://open.spotify.com/track/5egD7A5x9AHdVO2fMo3Wbo,0.903,0.535,-6.238,0.286,0.0298,0,0.0851,0.157,130.117,"['melodic rap', 'philly rap', 'rap', 'trap']"
P2,Lil Uzi Vert,3/7/20,"1,922,227",5,us,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,-5.353,0.193,0.0236,0,0.114,0.49,155.086,"['melodic rap', 'philly rap', 'rap', 'trap']"
The Box,Roddy Ricch,3/8/20,"1,997,394",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
Baby Pluto,Lil Uzi Vert,3/8/20,"1,632,609",2,us,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,0.772,0.634,-6.101,0.212,0.135,0,0.432,0.671,160.052,"['melodic rap', 'philly rap', 'rap', 'trap']"
That Way - Bonus Track,Lil Uzi Vert,3/8/20,"1,573,643",3,us,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,0.712,0.598,-5.368,0.0388,0.0546,0,0.154,0.504,130.007,"['melodic rap', 'philly rap', 'rap', 'trap']"
Lo Mein,Lil Uzi Vert,3/8/20,"1,453,623",4,us,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,0.855,0.676,-5.736,0.325,0.0888,0,0.144,0.509,133.082,"['melodic rap', 'philly rap', 'rap', 'trap']"
P2,Lil Uzi Vert,3/8/20,"1,430,528",5,us,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,-5.353,0.193,0.0236,0,0.114,0.49,155.086,"['melodic rap', 'philly rap', 'rap', 'trap']"
The Box,Roddy Ricch,3/9/20,"1,858,338",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
Baby Pluto,Lil Uzi Vert,3/9/20,"1,671,759",2,us,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,0.772,0.634,-6.101,0.212,0.135,0,0.432,0.671,160.052,"['melodic rap', 'philly rap', 'rap', 'trap']"
P2,Lil Uzi Vert,3/9/20,"1,614,951",3,us,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,-5.353,0.193,0.0236,0,0.114,0.49,155.086,"['melodic rap', 'philly rap', 'rap', 'trap']"
That Way - Bonus Track,Lil Uzi Vert,3/9/20,"1,612,464",4,us,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,0.712,0.598,-5.368,0.0388,0.0546,0,0.154,0.504,130.007,"['melodic rap', 'philly rap', 'rap', 'trap']"
Lo Mein,Lil Uzi Vert,3/9/20,"1,443,243",5,us,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,0.855,0.676,-5.736,0.325,0.0888,0,0.144,0.509,133.082,"['melodic rap', 'philly rap', 'rap', 'trap']"
The Box,Roddy Ricch,3/10/20,"1,871,661",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
P2,Lil Uzi Vert,3/10/20,"1,529,825",2,us,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,-5.353,0.193,0.0236,0,0.114,0.49,155.086,"['melodic rap', 'philly rap', 'rap', 'trap']"
That Way - Bonus Track,Lil Uzi Vert,3/10/20,"1,438,722",3,us,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,0.712,0.598,-5.368,0.0388,0.0546,0,0.154,0.504,130.007,"['melodic rap', 'philly rap', 'rap', 'trap']"
Baby Pluto,Lil Uzi Vert,3/10/20,"1,401,636",4,us,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,0.772,0.634,-6.101,0.212,0.135,0,0.432,0.671,160.052,"['melodic rap', 'philly rap', 'rap', 'trap']"
Lo Mein,Lil Uzi Vert,3/10/20,"1,183,791",5,us,https://open.spotify.com/track/6CUP2khYzdphXebxVTfPE3,0.855,0.676,-5.736,0.325,0.0888,0,0.144,0.509,133.082,"['melodic rap', 'philly rap', 'rap', 'trap']"
The Box,Roddy Ricch,3/11/20,"1,864,785",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
P2,Lil Uzi Vert,3/11/20,"1,362,321",2,us,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,-5.353,0.193,0.0236,0,0.114,0.49,155.086,"['melodic rap', 'philly rap', 'rap', 'trap']"
That Way - Bonus Track,Lil Uzi Vert,3/11/20,"1,289,153",3,us,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,0.712,0.598,-5.368,0.0388,0.0546,0,0.154,0.504,130.007,"['melodic rap', 'philly rap', 'rap', 'trap']"
Baby Pluto,Lil Uzi Vert,3/11/20,"1,202,723",4,us,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,0.772,0.634,-6.101,0.212,0.135,0,0.432,0.671,160.052,"['melodic rap', 'philly rap', 'rap', 'trap']"
Blueberry Faygo,Lil Mosey,3/11/20,"1,178,120",5,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
The Box,Roddy Ricch,3/12/20,"1,840,150",1,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
P2,Lil Uzi Vert,3/12/20,"1,267,971",2,us,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,0.775,0.72,-5.353,0.193,0.0236,0,0.114,0.49,155.086,"['melodic rap', 'philly rap', 'rap', 'trap']"
That Way - Bonus Track,Lil Uzi Vert,3/12/20,"1,201,955",3,us,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,0.712,0.598,-5.368,0.0388,0.0546,0,0.154,0.504,130.007,"['melodic rap', 'philly rap', 'rap', 'trap']"
Blueberry Faygo,Lil Mosey,3/12/20,"1,172,872",4,us,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.554,-7.909,0.0383,0.207,0,0.132,0.349,99.034,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
Blinding Lights,The Weeknd,3/12/20,"1,112,891",5,us,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,0.513,0.796,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Myron,Lil Uzi Vert,3/13/20,"2,271,346",1,us,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ,0.771,0.654,-6.976,0.298,0.055,0,0.214,0.573,155.047,"['melodic rap', 'philly rap', 'rap', 'trap']"
The Box,Roddy Ricch,3/13/20,"1,920,796",2,us,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,-6.687,0.0559,0.104,0,0.79,0.642,116.971,"['melodic rap', 'rap', 'trap']"
